sleeper_id,projection_url,player_data-player,player_data-opponent,player_data-company,player_data-team,player_data-player_id,player_data-updated_at,player_data-game_id,player_data-sport,player_data-season_type,player_data-season,player_data-week,player_data-last_modified,player_data-category,rush_yd,rush_td,rush_fd,rush_att,rush_2pt,rec_yd,rec_td,rec_fd,rec_5_9,rec_40p,rec_30_39,rec_20_29,rec_10_19,rec_0_4,rec,pts_std,pts_ppr,pts_half_ppr,gp,fum_lost,bonus_rec_rb,adp_std,adp_rookie,adp_ppr,adp_idp,adp_half_ppr,adp_dynasty_std,adp_dynasty_ppr,adp_dynasty_half_ppr,adp_dynasty_2qb,adp_dynasty,adp_2qb,bonus_rec_wr,bonus_rec_te,pass_yd,pass_td,pass_int,pass_fd,pass_cmp,pass_att,pass_2pt,cmp_pct,player_data-date
9221,https://api.sleeper.com/projections/nfl/player/9221?season_type=regular&season=2024,,NA,rotowire,DET,9221,1721634617744,season,nfl,regular,2024,NA,1721634617744,proj,950,7,95,199,NA,399,2,39.9,10.8,5.4,5.4,10.8,16.2,10.8,54,186.9,240.9,213.9,18,1,54,10.2,999,11.8,15.9,10.2,9.6,9.5,9.6,19,999,17.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8146,https://api.sleeper.com/projections/nfl/player/8146?season_type=regular&season=2024,,NA,rotowire,NYJ,8146,1721634616630,season,nfl,regular,2024,NA,1721634616630,proj,31,NA,3.1,5,NA,1256,8,125.6,19.8,9.9,9.9,19.8,29.7,19.8,99,174.7,273.7,224.2,18,1,NA,11.5,999,11.7,19.2,11.5,11.9,11.7,11.9,21.1,999,20.8,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6813,https://api.sleeper.com/projections/nfl/player/6813?season_type=regular&season=2024,,NA,rotowire,IND,6813,1721634614774,season,nfl,regular,2024,NA,1721634614774,proj,1224,10,122.4,266,1,244,1,24.4,6.4,3.2,3.2,6.4,9.6,6.4,32,210.8,242.8,226.8,18,2,32,13.6,999,13,21.3,13.6,14.6,14.1,14.6,26.5,999,25.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11628,https://api.sleeper.com/projections/nfl/player/11628?season_type=regular&season=2024,,NA,rotowire,ARI,11628,1721634608645,season,nfl,regular,2024,NA,1721634608645,proj,7,NA,0.7,1,NA,1091,6,109.1,16.2,8.1,8.1,16.2,24.3,16.2,81,143.8,224.8,184.3,18,1,NA,14.8,999,14,13.8,14.8,7.3,7.7,7.3,14.8,999,22.9,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4866,https://api.sleeper.com/projections/nfl/player/4866?season_type=regular&season=2024,,NA,rotowire,PHI,4866,1721634612313,season,nfl,regular,2024,NA,1721634612313,proj,1157,7,115.7,261,1,331,2,33.1,8.8,4.4,4.4,8.8,13.2,8.8,44,200.8,244.8,222.8,18,2,44,15.2,999,15.6,23.7,15.2,20.7,17.7,20.7,34.5,999,23.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8150,https://api.sleeper.com/projections/nfl/player/8150?season_type=regular&season=2024,,NA,rotowire,LAR,8150,1721634616638,season,nfl,regular,2024,NA,1721634616638,proj,1041,9,104.1,233,1,284,2,28.4,7.8,3.9,3.9,7.8,11.7,7.8,39,196.5,235.5,216,18,2,39,16.9,999,16.9,28.7,16.9,22.1,22.3,22.1,38,999,29.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2133,https://api.sleeper.com/projections/nfl/player/2133?season_type=regular&season=2024,,NA,rotowire,LV,2133,1721634610242,season,nfl,regular,2024,NA,1721634610242,proj,5,NA,0.5,1,NA,1121,6,112.1,18.8,9.4,9.4,18.8,28.2,18.8,94,146.6,240.6,193.6,18,1,NA,18,999,17.5,50.7,18,62.8,60,62.8,75.9,999,32.8,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8112,https://api.sleeper.com/projections/nfl/player/8112?season_type=regular&season=2024,,NA,rotowire,ATL,8112,1721634616578,season,nfl,regular,2024,NA,1721634616578,proj,11,NA,1.1,2,NA,1121,7,112.1,17.2,8.6,8.6,17.2,25.8,17.2,86,153.2,239.2,196.2,18,1,NA,17.3,999,17.8,29.8,17.3,23.4,25.5,23.4,33.7,999,33.8,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8144,https://api.sleeper.com/projections/nfl/player/8144?season_type=regular&season=2024,,NA,rotowire,NO,8144,1721634616627,season,nfl,regular,2024,NA,1721634616627,proj,5,NA,0.5,1,NA,1192,6,119.2,17.6,8.8,8.8,17.6,26.4,17.6,88,153.7,241.7,197.7,18,1,NA,20.5,999,19.4,26.6,20.5,19,19.7,19,29.2,999,29.9,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10859,https://api.sleeper.com/projections/nfl/player/10859?season_type=regular&season=2024,,NA,rotowire,DET,10859,1721634607544,season,nfl,regular,2024,NA,1721634607544,proj,NA,NA,NA,NA,NA,839,7,83.9,16.2,8.1,8.1,16.2,24.3,16.2,81,123.9,204.9,164.4,18,1,NA,23.5,999,20.7,22,23.5,15.5,15.9,15.5,25.3,999,26,NA,81,NA,NA,NA,NA,NA,NA,NA,NA,NA
