sleeper_id,projection_url,player_data-date,adp_2qb,adp_dynasty,adp_dynasty_2qb,adp_dynasty_half_ppr,adp_dynasty_ppr,adp_dynasty_std,adp_half_ppr,adp_idp,adp_ppr,adp_rookie,adp_std,bonus_rec_rb,fum_lost,gp,pts_half_ppr,pts_ppr,pts_std,rec,rec_0_4,rec_10_19,rec_20_29,rec_30_39,rec_40p,rec_5_9,rec_fd,rec_td,rec_yd,rush_2pt,rush_att,rush_fd,rush_td,rush_yd,bonus_rec_wr,bonus_rec_te,cmp_pct,pass_2pt,pass_att,pass_cmp,pass_fd,pass_int,pass_td,pass_yd,def_kr_td,player_data-category,player_data-last_modified,player_data-week,player_data-season,player_data-season_type,player_data-sport,player_data-player_id,player_data-game_id,player_data-updated_at,player_data-team,player_data-company,player_data-opponent,player_data-player
11589,https://api.sleeper.com/projections/nfl/player/11589?season_type=regular&season=2024,NA,130.2,999,83.2,73.2,78.8,73.2,109.7,109.1,111.7,999,109.7,21,1,18,108.2,118.7,97.7,21,4.2,6.3,4.2,2.1,2.1,4.2,15.2,1,152,NA,130,54.5,4,545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1733217634657,NA,2024,regular,nfl,11589,season,1733217634657,ARI,rotowire,NA,
6768,https://api.sleeper.com/projections/nfl/player/6768?season_type=regular&season=2024,NA,37.2,999,42.1,117.2,114.7,117.2,106.1,62.3,104.3,999,106.1,NA,3,18,279.66,279.66,279.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,9.5,1,95,NA,NA,67.56,1,524,354,410.4,12,29,4104,NA,proj,1733217647451,NA,2024,regular,nfl,6768,season,1733217647451,MIA,rotowire,NA,
5001,https://api.sleeper.com/projections/nfl/player/5001?season_type=regular&season=2024,NA,118.6,999,126.9,121.1,119.5,121.1,118,140.1,106.7,999,118,NA,1,18,119.5,149,90,59,11.8,17.7,11.8,5.9,5.9,11.8,62,5,620,NA,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1733217643107,NA,2024,regular,nfl,5001,season,1733217643107,HOU,rotowire,NA,
8148,https://api.sleeper.com/projections/nfl/player/8148?season_type=regular&season=2024,NA,125.4,999,123.3,109.2,110.1,109.2,111.1,142.6,111.2,999,111.1,NA,1,18,177.2,207.7,146.7,61,12.2,18.3,12.2,6.1,6.1,12.2,102.3,7,1023,NA,8,4.4,NA,44,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1733217651247,NA,2024,regular,nfl,8148,season,1733217651247,DET,rotowire,NA,
9508,https://api.sleeper.com/projections/nfl/player/9508?season_type=regular&season=2024,NA,119.4,999,103.6,91.3,93.3,91.3,108.4,125.4,107.8,999,108.4,32,1,18,119.8,135.8,103.8,32,6.4,9.6,6.4,3.2,3.2,6.4,23.7,2,237,NA,121,52.1,3,521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1733217653392,NA,2024,regular,nfl,9508,season,1733217653392,TEN,rotowire,NA,
3163,https://api.sleeper.com/projections/nfl/player/3163?season_type=regular&season=2024,NA,39.4,999,47.1,127.5,122.1,127.5,113.8,71.2,109.9,999,113.8,NA,3,18,280.98,280.98,280.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,5.7,1,57,NA,NA,65.56,1,572,375,420.7,11,29,4207,NA,proj,1733217639729,NA,2024,regular,nfl,3163,season,1733217639729,DET,rotowire,NA,
8154,https://api.sleeper.com/projections/nfl/player/8154?season_type=regular&season=2024,NA,126.1,999,127.2,105.6,106,105.6,103.9,146.8,108.8,999,103.9,29,1,18,174.9,189.4,160.4,29,5.8,8.7,5.8,2.9,2.9,5.8,21.2,1,212,NA,232,93.2,7,932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1733217651268,NA,2024,regular,nfl,8154,season,1733217651268,WAS,rotowire,NA,
5248,https://api.sleeper.com/projections/nfl/player/5248?season_type=regular&season=2024,NA,123.3,999,149.9,122.2,128,122.2,104.3,157.3,113.5,999,104.3,16,1,18,147,155,139,16,3.2,4.8,3.2,1.6,1.6,3.2,12,1,120,NA,189,81,7,810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1733217643712,NA,2024,regular,nfl,5248,season,1733217643712,LAC,rotowire,NA,
11566,https://api.sleeper.com/projections/nfl/player/11566?season_type=regular&season=2024,NA,51.1,999,28.9,86.4,87.4,86.4,112,58.2,115.1,999,112,NA,3,18,342,342,342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146,84.4,8,844,NA,NA,68.76,1,509,350,366.5,13,20,3665,NA,proj,1733217634600,NA,2024,regular,nfl,11566,season,1733217634600,WAS,rotowire,NA,
5045,https://api.sleeper.com/projections/nfl/player/5045?season_type=regular&season=2024,NA,132.6,999,150.2,132.2,134.5,132.2,114.2,167.9,116.8,999,114.2,NA,1,18,177.9,215.4,140.4,75,15,22.5,15,7.5,7.5,15,99.9,7,999,NA,1,0.5,NA,5,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1733217643219,NA,2024,regular,nfl,5045,season,1733217643219,DEN,rotowire,NA,
