sleeper_id,projection_url,player_data-date,adp_2qb,adp_dynasty,adp_dynasty_2qb,adp_dynasty_half_ppr,adp_dynasty_ppr,adp_dynasty_std,adp_half_ppr,adp_idp,adp_ppr,adp_rookie,adp_std,bonus_rec_rb,fum_lost,gp,pts_half_ppr,pts_ppr,pts_std,rec,rec_0_4,rec_10_19,rec_20_29,rec_30_39,rec_40p,rec_5_9,rec_fd,rec_td,rec_yd,rush_2pt,rush_att,rush_fd,rush_td,rush_yd,bonus_rec_wr,bonus_rec_te,cmp_pct,pass_2pt,pass_att,pass_cmp,pass_fd,pass_int,pass_td,pass_yd,def_kr_td,pr_td,player_data-category,player_data-last_modified,player_data-week,player_data-sport,player_data-season_type,player_data-season,player_data-game_id,player_data-updated_at,player_data-player_id,player_data-team,player_data-company,player_data-opponent,player_data-player
11571,https://api.sleeper.com/projections/nfl/player/11571?season_type=regular&season=2024,NA,620.7,999,276.7,253.6,307.3,253.6,343.9,557.9,558.8,999,343.9,3,NA,18,21.1,22.6,19.6,3,0.6,0.9,0.6,0.3,0.3,0.6,2.5,NA,25,NA,26,11.1,1,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1723449048423,NA,nfl,regular,2024,season,1723449048423,11571,NYJ,rotowire,NA,
7562,https://api.sleeper.com/projections/nfl/player/7562?season_type=regular&season=2024,NA,269.2,999,278.8,259,258.2,259,538.9,569.9,655.6,999,538.9,NA,NA,18,41.4,50.9,31.9,19,3.8,5.7,3.8,1.9,1.9,3.8,24.2,1,242,NA,3,1.7,NA,17,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1723449057489,NA,nfl,regular,2024,season,1723449057489,7562,LAR,rotowire,NA,
7606,https://api.sleeper.com/projections/nfl/player/7606?season_type=regular&season=2024,NA,310.7,999,278.9,269.3,304.5,269.3,300.1,575.1,296.3,999,300.1,NA,NA,18,35.1,42.1,28.1,14,2.8,4.2,2.8,1.4,1.4,2.8,17.2,1,172,NA,8,4.9,NA,49,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1723449057547,NA,nfl,regular,2024,season,1723449057547,7606,KC,rotowire,NA,
2306,https://api.sleeper.com/projections/nfl/player/2306?season_type=regular&season=2024,NA,257.3,999,282.2,663,664.5,663,453.4,512.9,492.1,999,453.4,NA,NA,18,30.26,30.26,30.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2.9,NA,29,NA,NA,65.57,NA,61,40,43.4,2,3,434,NA,NA,proj,1723449050621,NA,nfl,regular,2024,season,1723449050621,2306,CLE,rotowire,NA,
19,https://api.sleeper.com/projections/nfl/player/19?season_type=regular&season=2024,NA,236.6,999,283.2,391.9,620.1,391.9,525.1,460.8,680.7,999,525.1,NA,NA,18,12.76,12.76,12.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0.4,NA,4,NA,NA,63.64,NA,33,21,23.4,1,1,234,NA,NA,proj,1723449050352,NA,nfl,regular,2024,season,1723449050352,19,IND,rotowire,NA,
11815,https://api.sleeper.com/projections/nfl/player/11815?season_type=regular&season=2024,NA,688.8,999,269.4,242.1,281.4,242.1,466.9,478.1,652.1,999,466.9,NA,NA,18,28.1,33.6,22.6,11,2.2,3.3,2.2,1.1,1.1,2.2,16.6,1,166,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1723449048846,NA,nfl,regular,2024,season,1723449048846,11815,LAC,rotowire,NA,
11748,https://api.sleeper.com/projections/nfl/player/11748?season_type=regular&season=2024,NA,679.6,999,287.1,308,291.3,308,489,557.1,651.8,999,489,NA,NA,18,26.5,32.5,20.5,12,2.4,3.6,2.4,1.2,1.2,2.4,14.5,1,145,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1723449048728,NA,nfl,regular,2024,season,1723449048728,11748,NO,rotowire,NA,
11580,https://api.sleeper.com/projections/nfl/player/11580?season_type=regular&season=2024,NA,688.8,999,287.7,350.2,330.4,350.2,505.8,650.3,599.7,999,505.8,4,NA,18,23.2,25.2,21.2,4,0.8,1.2,0.8,0.4,0.4,0.8,2.6,NA,26,NA,31,12.6,1,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1723449048437,NA,nfl,regular,2024,season,1723449048437,11580,CAR,rotowire,NA,
11783,https://api.sleeper.com/projections/nfl/player/11783?season_type=regular&season=2024,NA,340.9,999,284.2,305,280,305,539.2,525.9,689.6,999,539.2,NA,NA,18,24.1,29.6,18.6,11,2.2,3.3,2.2,1.1,1.1,2.2,12.6,1,126,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1723449048793,NA,nfl,regular,2024,season,1723449048793,11783,DAL,rotowire,NA,
11568,https://api.sleeper.com/projections/nfl/player/11568?season_type=regular&season=2024,NA,662,999,293.1,323.7,296.7,323.7,530.4,548.7,685.7,999,530.4,4,NA,18,21.7,23.7,19.7,4,0.8,1.2,0.8,0.4,0.4,0.8,2.9,NA,29,NA,26,10.8,1,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,proj,1723449048418,NA,nfl,regular,2024,season,1723449048418,11568,DEN,rotowire,NA,
